6000,Perth,WA,-31.92,115.91
6000,Perth GPO,WA,-31.92,115.91
6001,Perth,WA,-31.99,115.76
6003,Highgate,WA,-31.94,115.87
6003,Northbridge,WA,-31.94,115.87
6004,East Perth,WA,-31.94,115.88
6005,Kings Park,WA,-31.97,115.84
6005,West Perth,WA,-31.97,115.84
6006,North Perth,WA,-31.98,115.76
6007,Leederville,WA,-31.94,115.84
6007,West Leederville,WA,-31.94,115.84
6008,Daglish,WA,-31.95,115.81
6008,Shenton Park,WA,-31.95,115.81
6008,Subiaco,WA,-31.95,115.81
6008,Subiaco East,WA,-31.95,115.81
6009,Broadway Nedlands,WA,-31.98,115.81
6009,Crawley,WA,-31.98,115.81
6009,Dalkeith,WA,-31.98,115.81
6009,Nedlands,WA,-31.98,115.81
6009,Nedlands DC,WA,-31.98,115.81
6010,Claremont,WA,-31.98,115.78
6010,Claremont North,WA,-31.98,115.78
6010,Karrakatta,WA,-31.98,115.78
6010,Mount Claremont,WA,-31.98,115.78
6010,Swanbourne,WA,-31.98,115.78
6011,Cottesloe,WA,-32,115.76
6011,Peppermint Grove,WA,-32,115.76
6012,Mosman Park,WA,-32.01,115.76
6014,Floreat,WA,-31.94,115.79
6014,Floreat Forum,WA,-31.94,115.79
6014,Jolimont,WA,-31.94,115.79
6014,Wembley,WA,-31.94,115.79
6015,City Beach,WA,-31.94,115.75
6016,Glendalough,WA,-31.92,115.81
6016,Mount Hawthorn,WA,-31.92,115.81
6017,Herdsman,WA,-31.91,115.81
6017,Osborne Park,WA,-31.91,115.81
6017,Osborne Park DC,WA,-31.91,115.81
6018,Churchlands,WA,-31.92,115.79
6018,Doubleview,WA,-31.92,115.79
6018,Gwelup,WA,-31.92,115.79
6018,Gwelup DC,WA,-31.92,115.79
6018,Innaloo,WA,-31.92,115.79
6018,Karrinyup,WA,-31.92,115.79
6018,Woodlands,WA,-31.92,115.79
6019,Scarborough,WA,-31.89,115.76
6019,Wembley Downs,WA,-31.89,115.76
6020,Carine,WA,-31.85,115.78
6020,Marmion,WA,-31.85,115.78
6020,North Beach,WA,-31.85,115.78
6020,Sorrento,WA,-31.85,115.78
6020,Watermans Bay,WA,-31.85,115.78
6021,Balcatta,WA,-31.86,115.82
6021,Stirling,WA,-31.86,115.82
6022,Hamersley,WA,-31.85,115.8
6023,Duncraig,WA,-31.83,115.77
6024,Greenwood,WA,-31.83,115.8
6024,Warwick,WA,-31.83,115.8
6025,Craigie,WA,-31.78,115.77
6025,Hillarys,WA,-31.78,115.77
6025,Kallaroo,WA,-31.78,115.77
6025,Padbury,WA,-31.78,115.77
6026,Kingsley,WA,-31.81,115.79
6026,Woodvale,WA,-31.81,115.79
6027,Beldon,WA,-31.78,115.76
6027,Connolly,WA,-31.78,115.76
6027,Edgewater,WA,-31.78,115.76
6027,Heathridge,WA,-31.78,115.76
6027,Joondalup,WA,-31.78,115.76
6027,Joondalup DC,WA,-31.78,115.76
6027,Mullaloo,WA,-31.78,115.76
6027,Ocean Reef,WA,-31.78,115.76
6028,Burns Beach,WA,-31.73,115.72
6028,Currambine,WA,-31.73,115.72
6028,Iluka,WA,-31.73,115.72
6028,Kinross,WA,-31.73,115.72
6029,Trigg,WA,-31.88,115.75
6030,Clarkson,WA,-31.68,115.72
6030,Merriwa,WA,-31.68,115.72
6030,Mindarie,WA,-31.68,115.72
6030,Quinns Rocks,WA,-31.68,115.72
6030,Ridgewood,WA,-31.68,115.72
6030,Tamala Park,WA,-31.68,115.72
6031,Banksia Grove,WA,-31.7,115.81
6031,Carramar,WA,-31.7,115.81
6031,Neerabup,WA,-31.7,115.81
6032,Nowergup,WA,-31.64,115.74
6033,Carabooda,WA,-31.6,115.75
6034,Eglinton,WA,-31.85,115.81
6035,Yanchep,WA,-31.55,115.63
6036,Butler,WA,-31.65,115.71
6036,Jindalee,WA,-31.65,115.71
